source,target,weight
M0094,M0186,0.4571204768063359
M0094,M0127,0.45326163908278544
M0094,M0078,0.44654515339258616
M0094,M0102,0.3525792156400094
M0094,M0193,0.3345448368791062
M0094,M0129,0.2899947246337252
M0094,M0085,0.2801996479280629
M0095,M0089,0.9930381136733714
M0095,M0107,0.9467439598030787
M0095,M0092,0.937460982045221
M0095,M0096,0.9354448056200759
M0095,M0090,0.922657635036519
M0095,M0122,0.921493967333629
M0095,M0080,0.909559213290764
M0095,M0118,0.8804612174465795
M0096,M0092,0.9982628317778299
M0096,M0080,0.9965334335244048
M0096,M0100,0.9855480287250118
M0096,M0095,0.9354448056200759
M0096,M0114,0.9343460403677328
M0096,M0090,0.9226468864282131
M0096,M0089,0.9066042175141773
M0096,M0084,0.9055637810918608
M0097,M0103,0.8358515807003362
M0097,M0072,0.7749426204470413
M0097,M0091,0.747987124302177
M0097,M0104,0.7243733758475674
M0097,M0084,0.6461778931313716
M0097,M0114,0.5963567673321796
M0097,M0107,0.5668984774912299
M0097,M0089,0.4658000919679522
M0098,M0122,0.9836434633278596
M0098,M0130,0.9820469703032362
M0098,M0090,0.9674162274714321
M0098,M0073,0.958249967722743
M0098,M0118,0.9443117616565478
M0098,M0086,0.9403259638847351
M0098,M0095,0.879667346067791
M0098,M0128,0.8735153978666513
M0099,M0120,0.8492257436469972
M0099,M0106,0.8134631186928776
M0099,M0102,0.6885250244606087
M0099,M0127,0.563431002046253
M0099,M0129,0.548892537208583
M0099,M0118,0.5475087561152391
M0099,M0082,0.5252271799688477
M0099,M0085,0.5165727753549442
M0100,M0080,0.9879802385101817
M0100,M0092,0.9870280461495367
M0100,M0096,0.9855480287250118
M0100,M0081,0.9568943040936732
M0100,M0124,0.9343814866610206
M0100,M0114,0.9196389608137213
M0100,M0090,0.9116005147763079
M0100,M0121,0.8957105233345874
M0101,M0110,0.9676836570726304
M0101,M0074,0.8968101351557207
M0101,M0075,0.8842528253239517
M0101,M0111,0.8088249212791901
M0101,M0079,0.7363702143090316
M0101,M0124,0.6705613438770716
M0101,M0119,0.6606190911164451
M0101,M0115,0.6333829149424003
M0102,M0127,0.9761629406245202
M0102,M0129,0.9439061490833306
